Pick,Slot
1,"$10,570,600 "
2,"$9,785,000 "
3,"$9,070,800 "
4,"$8,370,800 "
5,"$7,763,700 "
6,"$7,213,800 "
7,"$6,823,700 "
8,"$6,502,800 "
9,"$6,216,600 "
10,"$5,953,800 "
11,"$5,712,100 "
12,"$5,484,600 "
13,"$5,272,300 "
14,"$5,070,700 "
15,"$4,880,900 "
16,"$4,704,700 "
17,"$4,534,100 "
18,"$4,372,900 "
19,"$4,219,200 "
20,"$4,073,400 "
21,"$3,934,400 "
22,"$3,802,200 "
23,"$3,676,400 "
24,"$3,556,300 "
25,"$3,442,100 "
26,"$3,332,900 "
27,"$3,228,300 "
28,"$3,132,500 "
29,"$3,045,500 "
30,"$2,971,300 "
31,"$2,904,000 "
32,"$2,835,400 "
33,"$2,766,100 "
34,"$2,698,300 "
35,"$2,632,500 "
36,"$2,569,200 "
37,"$2,511,400 "
38,"$2,452,200 "
39,"$2,395,000 "
40,"$2,332,100 "
41,"$2,278,000 "
42,"$2,224,700 "
43,"$2,172,800 "
44,"$2,122,200 "
45,"$2,072,800 "
46,"$2,031,700 "
47,"$1,984,800 "
48,"$1,938,800 "
49,"$1,893,700 "
50,"$1,846,400 "
51,"$1,804,900 "
52,"$1,762,500 "
53,"$1,721,200 "
54,"$1,681,200 "
55,"$1,641,800 "
56,"$1,603,400 "
57,"$1,562,100 "
58,"$1,525,200 "
59,"$1,489,000 "
60,"$1,453,700 "
61,"$1,418,900 "
62,"$1,385,000 "
63,"$1,352,000 "
64,"$1,319,200 "
65,"$1,287,600 "
66,"$1,260,200 "
67,"$1,226,800 "
68,"$1,197,200 "
69,"$1,168,000 "
70,"$1,139,100 "
71,"$1,110,600 "
72,"$1,093,600 "
73,"$1,076,900 "
74,"$1,060,300 "
75,"$1,043,900 "
76,"$1,027,700 "
77,"$1,011,900 "
78,"$996,100 "
79,"$980,300 "
80,"$964,500 "
81,"$948,600 "
82,"$934,800 "
83,"$920,800 "
84,"$906,800 "
85,"$892,600 "
86,"$878,800 "
87,"$865,800 "
88,"$852,300 "
89,"$838,900 "
90,"$826,000 "
91,"$812,900 "
92,"$800,800 "
93,"$788,700 "
94,"$776,500 "
95,"$767,200 "
96,"$759,700 "
97,"$752,500 "
98,"$745,000 "
99,"$737,800 "
100,"$730,500 "
101,"$724,800 "
102,"$717,700 "
103,"$710,400 "
104,"$703,400 "
105,"$696,300 "
106,"$689,600 "
107,"$682,800 "
108,"$676,000 "
109,"$669,300 "
110,"$662,900 "
111,"$656,400 "
112,"$649,700 "
113,"$643,500 "
114,"$637,200 "
115,"$630,900 "
116,"$624,800 "
117,"$618,800 "
118,"$612,900 "
119,"$606,700 "
120,"$600,800 "
121,"$594,900 "
122,"$589,000 "
123,"$583,400 "
124,"$577,700 "
125,"$572,200 "
126,"$567,400 "
127,"$562,000 "
128,"$556,300 "
129,"$551,100 "
130,"$545,400 "
131,"$541,100 "
132,"$535,800 "
133,"$530,400 "
134,"$525,200 "
135,"$520,000 "
136,"$515,100 "
137,"$510,000 "
138,"$505,000 "
139,"$500,000 "
140,"$495,400 "
141,"$490,500 "
142,"$485,700 "
143,"$480,800 "
144,"$476,200 "
145,"$471,400 "
146,"$466,900 "
147,"$462,300 "
148,"$457,900 "
149,"$453,300 "
150,"$448,700 "
151,"$444,200 "
152,"$440,100 "
153,"$435,600 "
154,"$431,400 "
155,"$427,000 "
156,"$422,900 "
157,"$418,600 "
158,"$414,600 "
159,"$411,000 "
160,"$407,100 "
161,"$403,400 "
162,"$399,600 "
163,"$396,200 "
164,"$392,300 "
165,"$388,700 "
166,"$385,500 "
167,"$382,100 "
168,"$378,900 "
169,"$375,700 "
170,"$372,300 "
171,"$369,100 "
172,"$366,100 "
173,"$363,100 "
174,"$359,900 "
175,"$357,000 "
176,"$354,100 "
177,"$351,100 "
178,"$348,200 "
179,"$345,100 "
180,"$342,300 "
181,"$339,600 "
182,"$337,000 "
183,"$334,200 "
184,"$331,300 "
185,"$328,700 "
186,"$326,000 "
187,"$323,400 "
188,"$320,800 "
189,"$318,300 "
190,"$315,500 "
191,"$312,800 "
192,"$310,300 "
193,"$307,600 "
194,"$305,200 "
195,"$302,700 "
196,"$300,200 "
197,"$297,700 "
198,"$295,300 "
199,"$292,700 "
200,"$290,300 "
201,"$288,700 "
202,"$286,200 "
203,"$283,800 "
204,"$281,500 "
205,"$279,100 "
206,"$276,700 "
207,"$274,600 "
208,"$272,200 "
209,"$270,000 "
210,"$268,000 "
211,"$265,800 "
212,"$263,600 "
213,"$261,600 "
214,"$259,600 "
215,"$257,400 "
216,"$255,500 "
217,"$253,300 "
218,"$251,500 "
219,"$249,400 "
220,"$247,900 "
221,"$245,900 "
222,"$244,300 "
223,"$242,400 "
224,"$240,600 "
225,"$238,900 "
226,"$237,400 "
227,"$235,900 "
228,"$234,200 "
229,"$232,200 "
230,"$230,900 "
231,"$229,000 "
232,"$227,700 "
233,"$226,000 "
234,"$224,500 "
235,"$222,800 "
236,"$221,400 "
237,"$219,900 "
238,"$218,600 "
239,"$217,400 "
240,"$216,200 "
241,"$215,100 "
242,"$213,900 "
243,"$212,900 "
244,"$211,600 "
245,"$210,700 "
246,"$209,800 "
247,"$208,700 "
248,"$207,800 "
249,"$206,900 "
250,"$205,800 "
251,"$205,300 "
252,"$204,400 "
253,"$203,500 "
254,"$202,800 "
255,"$202,000 "
256,"$201,300 "
257,"$200,600 "
258,"$200,000 "
259,"$199,200 "
260,"$198,600 "
261,"$198,000 "
262,"$197,500 "
263,"$196,700 "
264,"$196,100 "
265,"$195,700 "
266,"$195,100 "
267,"$194,600 "
268,"$194,200 "
269,"$193,600 "
270,"$193,000 "
271,"$192,600 "
272,"$192,100 "
273,"$191,600 "
274,"$191,300 "
275,"$190,900 "
276,"$190,400 "
277,"$190,100 "
278,"$189,500 "
279,"$189,000 "
280,"$188,800 "
281,"$188,600 "
282,"$188,200 "
283,"$187,800 "
284,"$187,600 "
285,"$187,100 "
286,"$186,400 "
287,"$186,200 "
288,"$185,800 "
289,"$185,500 "
290,"$185,200 "
291,"$185,000 "
292,"$184,700 "
293,"$184,300 "
294,"$183,800 "
295,"$183,600 "
296,"$183,000 "
297,"$182,800 "
298,"$182,600 "
299,"$182,200 "
300,"$181,800 "
301,"$181,600 "
302,"$181,400 "
303,"$181,100 "
304,"$180,700 "
305,"$180,400 "
306,"$180,300 "
307,"$180,000 "
308,"$179,700 "
309,"$179,200 "
310,"$179,000 "
311,"$178,800 "
312,"$178,800 "
313,"$178,800 "
314,"$178,800 "
315,"$178,800 "