Rank,Name,Position,Age,Height,Weight,College,TLDR,FB,FBf,2nd,2ndf,3rd,3rdf,4th,4thf,5th,5thf,Commandp,Commandf,Velos,Contact,Contactf,G Power,G Powerf,R Power,R Powerf,Speed,Speedf,Field,Fieldf,Arm,FV,DS,DV,ETA,Slot,Drafted/College,Bonus_pred
29,Brody Brecht,SP,21.8,6'4,235,Iowa,"Iowa WR and now full-time pitcher, is the most 80 stuff 20 command-y guy in the draft with a power SL & FB. Raw pitching-wise, maxed-out physically.",60,65,65,70,35,45,,,,,30,35,"95-98/100, SL85-89, SP89-92",,,,,,,,,,,,45,51.29,,2028,,Iowa,"$1,966,327"
6,Chase Burns,SP,21.4,6'3,210,Wake Forest,Not too far from 70/70 FB/SL potential with two other pitches with 50-upside and quality command. ,65,70,70,70,50,55,40,45,,,35,45,"96-99/101, SL85-90, CB80-85, CH88-92",,,,,,,,,,,,55,57.73,,2027,,Wake Forest,"$5,386,320"
51,Drew Beam,SP,21.4,6'4,210,Tennessee,"Once looked like a T5 pick in this Draft after '22, but espcially after a slow start this year is a fringe R1 talent through his FB/CB combo.",45,50,60,60,45,50,30,40,,,45,50,"92-96/98, CB79-82, CH85-88, CT88-91",,,,,,,,,,,,40,46.41,,2028,,Tennessee,"$879,434"
9,Hagen Smith,SP,20.8,6'3,225,Arkansas,Arguably holds the best secondary within the draft with great overall swing and miss ability.,60,65,70,70,40,50,45,50,,,45,60,"93-97/100, SL81-86, CH86-90, CT85-88",,,,,,,,,,,,55,61.60,,2027,,Arkansas,"$5,211,672"
11,Trey Yesavage,SP,20.9,6'4,225,East Carolina,Large high release righty with a pleathora of Avg-to-+ pitches resembling Chris Bassitt closely.,55,55,60,60,55,60,40,45,,,45,65,"92-96/97, CT84-89, SP81-86, CB79-83",,,,,,,,,,,,50,54.07,,2027,,East Carolina,"$3,319,996"
57,Carson Wiggins,SP,19.1,6'5,210,Arkansas,Long levered big framed HSer with effortless velo. SL for lots of depth but lacks command for the entire arsenal. Old for the prep class.,50,60,55,60,30,40,,,,,25,40,"94-97/99, SL83-87, SP85-88",,,,,,,,,,,,40,45.22,,2031,,Arkansas,"$1,253,024"
141,Noah Franco,SP,18.2,6'3,205,TCU,Has spent very little time pitching has he used to be a TWP. FB with a good amount of ride and has the ability to spin. Lots of room to grow for a patient org.,50,55,45,50,45,45,,,,,25,45,"90-92/94, SL81-84, CH78-82",,,,,,,,,,,,35,43.16,,2031,,TCU,"$1,251,827"
149,Cade Obermueller,SP,21.0,5'11,160,Iowa,Undersized lefty that throws with a very low release and has ability to spin. Lacks both FB velo and command. SL with heavy sweep.,30,40,40,55,30,40,,,,,25,40,"89-92/95, SL77-80, SP80-83",,,,,,,,,,,,35,39.05,,2028,,Iowa,"$318,386"
147,Andrew Dutkanych IV,SP,21.0,6'3,220,Vanderbilt,"One of the top prep arms in '22 that decided to go to Vandy, and looks like a mistake now. Has only thrown 17 IP in his 2 years and jsut underwent another TJ. Still shows his high velo however",50,55,50,60,40,55,30,35,,,25,35,"92-95/97, SL83-86, CB78-81, CH84-86",,,,,,,,,,,,35,46.13,,2029,,Vanderbilt,"$965,460"
166,Schuyler Sandford,SP,19.2,6'6,215,Florida,Lengthy HS arm with a quality FB from the ride of the pitch plus the extension in his delivery. Poor feel for his secondaries and command in general.,55,60,35,45,35,45,30,40,,,25,30,"91-95/96, CB76-79, SL83-85, CH81-84",,,,,,,,,,,,35,41.48,,2031,,Florida,"$946,205"
47,Dylan Jordan,SP,18.7,6'2,205,Florida State,"SI with lots of run, and thrown from a low arm slot which can be lethal in the top of the zone. Lots of opposing Hor run on the SL/CH. Big upside.",50,60,45,55,35,50,,,,,25,40,"90-93/96, SL81-84, CH80-83",,,,,,,,,,,,45,47.85,,2029,,Florida State,"$2,605,566"
184,Landon Victorian,SP,18.7,6'3,185,LSU,Good ability to spin the SL that moves like a Slurve. Also able to throw the CH with seperating action from the FB. Command for all pitches is raw.,40,45,45,50,50,50,,,,,25,35,"91-93/95, SL81-84, CH79-82",,,,,,,,,,,,35,38.36,,2031,,LSU,"$893,669"
74,Jonathan Santucci,SP,21.5,6'2,205,Duke,"Shades of Patrick Sandoval. FB has considerable run. High SL usage with lots of sweep. Command became a problem late in the year, and overall posts a lower upside from prominent college arms.",45,55,50,60,50,55,,,,,35,40,"92-95/96, SL82-85, CH86-89",,,,,,,,,,,,40,48.37,,2027,,Duke,"$977,154"
72,Thatcher Hurd,SP,21.6,6'4,230,LSU,"Popular prep arm that had a great FR year, then really stopped developing. Firm FB with good action on a SL and CB. High effort delivery and poor command likely push him to a RP.",50,55,55,60,50,55,35,35,,,30,40,"93-95/97, SL84-87, CB76-79, CH83-86",,,,,,,,,,,,40,47.51,,2028,,LSU,"$779,620"
124,Tegan Kuhns,SP,19.1,6'3,180,Tennessee,"Very lanky frame with a funky delivery and extreme over the top release point. High spin on the CB, but fringe action on the FB and SP.",45,45,55,55,45,50,,,,,25,40,"92-96, CB77-80, SP82-84",,,,,,,,,,,,40,42.34,,2029,,Tennessee,"$1,189,038"
70,Ben Hess,SP,21.8,6'5,255,Alabama,"Injuries led to a down year for a promising pitcher, but still holds the upside for a back-end rotation guy through power FB and CB with shades of Lance Lynn.",50,55,55,60,40,45,35,45,,,30,40,"93-95/98, CB78-81, SL83-86, CH83-86",,,,,,,,,,,,40,46.35,,2028,,Alabama,"$1,022,504"
123,Carter Holton,SP,21.9,5'11,200,Vanderbilt,Good run and command on the FB. SL with lots of sweep and CB with late action. Dealt with injuries in each of the last two years and overall has a lower ceiling.,50,50,60,60,55,55,50,50,,,45,50,"92-95/97, SL84-87, CB78-81, CH83-86",,,,,,,,,,,,40,49.78,,2027,,Vanderbilt,"$1,293,151"
132,Michael Massey,RP,21.3,6'5,230,Wake Forest,3-pitch reliever that's fairly raw with good upside for his profile.,45,55,50,55,40,60,,,,,35,45,"91-95/96, SL80-84, CB73-79",,,,,,,,,,,,35,44.00,,2027,,Wake Forest,"$458,016"
128,Josh Hartle,SP,21.3,6'5,210,Wake Forest,Really good '23 season followed by a really shaky '24 that showed mixes of allowing hard contact and poor command. FB lacks action and isn't thrown hard. Throws a CT with sweep like action and a CB with tilt. ,30,35,60,60,60,60,40,40,,,25,40,"89-92/94, CT86-89, CB81-83, CH83-86",,,,,,,,,,,,40,41.65,,2028,,Wake Forest,"$613,976"
42,Joey Oakie,SP,18.2,6'3,205,Iowa,FB/SL both thrown hard with mssive run in opposite directions. SL thrown for tons of spin. CH feel and overall command both fringe.,55,55,60,60,30,40,,,,,25,45,"90-94/97, SL83-85, CH84-87",,,,,,,,,,,,45,48.51,,2029,,Iowa,"$2,974,728"
138,Casan Evans,SP,18.8,6'2,180,LSU,"SP is the overall best pitch with a lot of dive. FB with quality run. Feel for his bender is raw, but has depth from a 12-6 shape. Overall feel for all pitches are poor, but is a relatively new pitcher.",45,50,55,55,35,45,,,,,25,40,"91-93/97, SP82-85, CB76-79",,,,,,,,,,,,35,41.20,,2031,,LSU,"$885,692"
163,Daniel Avitia,SP,21.2,6'4,200,Grand Canyon,FB from a sidearm slot that has good ride and misses bats. CH with good run that is the better secondary compared to the sweeping SL. Needs another pitch or a velo jump to really succeed.,50,50,45,45,40,40,,,,,35,50,"89-92/95, CH82-85, SL78-81",,,,,,,,,,,,35,38.57,,2029,,Grand Canyon,"$460,491"
26,William Schmidt,SP,18.8,6'4,190,LSU,Mostly a 2-pitch guy. Throws a firm FB with ride and a power CB with elite ability to spin. CH and command skills are coming along.,55,65,55,60,30,45,,,,,25,40,"93-96/99, CB82-85, CH78-81",,,,,,,,,,,,45,48.79,,2030,,LSU,"$2,583,519"
67,Owen Hall,SP,18.7,6'3,185,Vanderbilt,"FB thrown hard with ease and generates run. Feel for secondaries is raw, but flashes as good pitches. Hardly grown into his frame giving high upside.",55,60,45,55,45,50,,,,,25,45,"92-94/97, SL84-87, SP83-85",,,,,,,,,,,,40,48.40,,2030,,Vanderbilt,"$1,876,479"
175,Pierce Coppola,SP,21.5,6'8,255,Florida,Long levered 6'8 Lefty with a big sweeping SL. First healthy season this year mixed with a lack of development from his Prep days muddies his projectability.,50,55,60,60,40,40,,,,,25,30,"91-94/96, SL80-83, CH83-86",,,,,,,,,,,,35,42.76,,2028,,Florida,"$371,522"
89,Chase Mobley,SP,18.1,6'6,200,Florida State,FB thrown hard with run-like SI shape and plays off the SL with sweep. CH is still developing as well as his delivery with lots of timing mechanisms creating a lot of effort.,50,55,60,60,30,40,,,,,25,35,"92-95/99, SL82-85, CH85-88",,,,,,,,,,,,40,45.98,,2030,,Florida State,"$1,615,034"
93,Ryan Johnson,SP,21.9,6'6,215,Dallas Baptist,"Funky, Rollie Fingers-esque, delivery with a SL primary profile. SL gets lots of sweep and upward tilt, meanwhile SI is thrown hard with considerable run.",50,55,55,60,30,40,,,,,35,40,"92-95/99, SL84-87, CT89-92",,,,,,,,,,,,40,43.26,,2028,,Dallas Baptist,"$498,514"
188,Matt Ager,RP,21.1,6'6,225,UC Santa Barbara,Had preseaon R1 hype then fell out of the rotation and became a Closer. Mostly FB/SL usage with the FB having lots of downhill movement and the SL thrown as a tight gyro. CB has 12-6 shape. Likely to hang as a RP as his stuff played better there.,40,40,55,55,45,50,35,35,,,35,50,"90-92/95, SL81-84, CB74-76, CH83-85",,,,,,,,,,,,35,39.17,,2026,,UC Santa Barbara,"$377,596"
40,Levi Sterling,SP,17.8,6'5,195,Texas,"Great mix of 3 quality pitches, command, and upside. Throwing from a lower arm slot with a tall stature giving a unique release.",40,55,45,55,40,45,,,,,35,65,"91-93/95, CH83-84, SL81-83",,,,,,,,,,,,45,49.66,,2030,,Texas,"$2,213,672"
97,Tyson Neighbors,RP,21.8,6'2,220,Kansas State,Swing and miss monster out of the pen built through a 70 CB.,60,65,65,70,55,60,,,,,35,40,"93-97/99, CB80-85, SL82-90",,,,,,,,,,,,40,48.69,,2027,,Kansas State,"$1,460,333"
105,Gage Ziehl,SP,21.2,6',225,Miami,High spinning sweeping SL and a fading CH lead his arsenal. FB with some underperformance considering his ideal Vertical Approach. Good backend SP for a team that unlocks that.,35,40,60,60,50,50,,,,,40,55,"90-92/94, SL82-86, CH83-86",,,,,,,,,,,,40,41.98,,2028,,Miami,"$471,948"
161,Payton Tolle,RP,21.7,6'6,250,TCU,"FB with good rise from a lower arm slot, and uses it as an ""okay here it comes pitch"". SL and CH in there, but lack of utility in those pitch likely push him to a RP future.",55,60,45,50,40,45,,,,,35,50,"90-92/95, SL80-85, CH83-87",,,,,,,,,,,,35,43.16,,2026,,TCU,"$441,936"
197,Devin Futrell,SP,21.8,6'5,220,Vanderbilt,"Big framed command artist. Fading CH and sweeping SL play off each other well, but lacks action on FB.",30,30,45,45,45,45,,,,,40,60,"89-91/94, CH78-81, SL78-81",,,,,,,,,,,,30,36.45,,2027,,Vanderbilt,"$288,629"
171,Eli Jerzembeck,SP,21.1,6'2,185,South Carolina,Clear arm talent with a hard riding FB with elite feel and ability to spin the SL. Only college experience is as a RP as he missed this platform year with TJ.,55,55,60,60,40,45,,,,,35,45,"92-94/96, SL80-83, CH82-5",,,,,,,,,,,,35,45.98,,2028,,South Carolina,"$854,321"
212,Matthew Becker,SP,21.5,6'3,200,South Carolina,FB plays up but still largely lacks velo. CB thrown often for ordinary action. Raw feel for CH.,30,30,40,40,30,30,,,,,30,40,"87-89/92, CB75-78, CH81-84",,,,,,,,,,,,30,29.75,,2028,,South Carolina,"$258,678"
208,Garrett Horn,RP,21.2,6'2,195,Liberty,FB with ride that is thrown moderately hard but lacks secondary effectiveness. Command issues likely will keep him as a RP.,45,45,40,40,40,40,35,35,,,30,35,"90-92/97, SL81-84, CB77-79, CH84-86",,,,,,,,,,,,30,31.74,,2028,,Liberty,"$284,498"
125,Tristan Smith,SP,21.1,6'2,200,Clemson,"Popular prep arm with big physicality. Firm FB with lots of run mixes with a big sweeping SL, and a CH with fade. Feel for the FB and SL come and go. Having still not mastered his command, likelya RP for now.",50,55,55,60,55,55,,,,,30,40,"92-94/96, SL82-84, CH81-85",,,,,,,,,,,,40,46.60,,2028,,Clemson,"$589,309"
209,Yoel Tejeda Jr.,SP,21.0,6'8,215,Florida,"Large righty that generates extension on the mound. Action on the FB/SL/CH combo is fringe. Very raw feel for pitching, but teams selecting are banking on his physicality.",45,50,45,45,40,40,,,,,25,35,"91-93/97, SL81-84, CH82-84",,,,,,,,,,,,30,37.02,,2029,,Florida,"$386,577"
136,Mason Molina,SP,21.0,6'2,215,Arkansas,FB with cut shape that plays a lot better than its velo indicates. Good SL/CH/CB combo to compliment. Shades of Cole Irvin.,40,40,50,50,50,50,45,45,,,30,45,"88-91/93, SL78-81, CH77-80, CB73-76",,,,,,,,,,,,35,42.48,,2027,,Arkansas,"$670,992"
180,Ryan Ure,RP,21.9,6'7,230,Oklahoma State,Thrown double the IPs in the Cape than his entire colllege career as he was used as a LOOGY at OSU. Famously hit 103 (definitely a misread). Arm talent wise can be an intriguing RP.,45,55,45,45,40,40,,,,,30,40,"93-96/99, SL82-85, CH84-87",,,,,,,,,,,,35,36.87,,2027,,Oklahoma State,"$266,233"
120,Chase Allsup,SP,21.2,6'2,235,Auburn,Athletically may be better posed as a RP where his stuff may play up better.,55,55,60,60,40,45,40,45,,,40,45,"93-95/97, SL83-86, SP86-88, CB77-79",,,,,,,,,,,,40,50.26,,2027,,Auburn,"$1,805,152"
192,Jack Findlay,RP,21.8,6'3,200,Notre Dame,Sweeper with major depth. Lack of FB action points to his projection as an up-and-down LOOGY.,35,35,60,60,40,40,,,,,30,45,"88-91/93, SL78-81, CB72-75",,,,,,,,,,,,30,32.89,,2027,,Notre Dame,"$306,018"
82,Brandon Neely,RP,21.0,6'3,210,Florida,"Florida closer that has the ability to go deep into games giving a potential SP profile. FB/SL thrown mostly with the FB getting ride from a low release, but not getting the whiff you would hope.",55,55,60,60,40,45,45,45,,,40,50,"91-93/97, SL83-86, CH84-87, CB74-77",,,,,,,,,,,,40,45.43,,2026,,Florida,"$898,724"
79,Gage Jump,SP,21.3,6',195,LSU,"Once HS Star has seen his Stuff dip following TJS, but is still at a quality level, combined with good FB command.",55,60,45,50,40,50,30,40,,,45,60,"92-95/97, SL81-84, CB76-81, CH82-86",,,,,,,,,,,,40,46.20,,2029,,LSU,"$1,016,850"
103,Roman Kimball,SP,20.8,5'11,185,South Carolina,Makes up for his lack of size with big intensity. Firm FB thats thrown from an intrguing Vert appraoch angle. SL and CB thrown with depth and bite. Recovering from TJ affecting his command.,55,55,50,50,50,50,40,40,,,30,40,"92-94/95, SL79-82, CB74-77, CH81-84",,,,,,,,,,,,40,46.55,,2028,,South Carolina,"$1,374,934"
145,LeBarron Johnson Jr.,RP,22.1,6'4,210,Texas,"Good three pitch mix with a steep FB, gyro SL, and diving SP.  Hasn't found the consistency for command after opting to return giving caution to a SP profile.",50,50,55,55,55,55,,,,,30,35,"92-95/98, SL86-89, SP83-86",,,,,,,,,,,,35,39.00,,2027,,Texas,"$248,467"
201,Jay Woolfolk,SP,21.6,6',200,Virginia,"Fairly raw college arm that has a running FB and ability to spin, but poor strike-throwing ability and limited SP experience.",40,45,40,45,35,40,,,,,30,35,"90-95/97, SL82-87, CH84-88, CT84-87",,,,,,,,,,,,30,35.96,,2028,,Virginia,"$198,372"
19,Jurrangelo Cijntje,SP,21.1,5'11,170,Mississippi State,Switch-pitcher sensation that throws very hard with his FB & SL from the right-side with lots of upside.,55,65,60,65,45,55,50,55,,,40,50,"93-97/99, SL81-89, CH85-89, CT88-91",,,,,,,,,,,,50,56.16,,2028,,Mississippi State,"$4,546,096"
134,Jacob Kmatz,SP,21.8,6'4,215,Oregon State,"Mixes a riding FB with a 12-6 CB that gets good depth. SL with gyro shape and hard thrown CH complete the pitches. Starter profile, and is command over stuff.",45,45,60,60,50,50,40,40,,,35,55,"90-92/94, CB75-78, SL84-87, CH83-86",,,,,,,,,,,,35,46.44,,2027,,Oregon State,"$866,523"
122,Connor Gatwood,SP,18.8,6'5,195,Auburn,FB heavy profile with the pitch gaining velocity in a return from injury and has SI traits. Secondaries lack action and feel. Banking on continued stuff growth as the body matures more.,55,55,35,45,40,40,,,,,25,40,"93-96/98, SL84-87, CH85-88",,,,,,,,,,,,40,41.91,,2030,,Auburn,"$928,939"
139,Duncan Marsten,SP,19.2,6'4,215,Wake Forest,Old for the class and has already undergone TJS as a prep arm. All pitches have fringe-to-ordinary stuff as the profile is reliant on growing into his frame.,45,50,40,45,30,40,,,,,30,40,"91-93/95, SL81-84, CH84-87",,,,,,,,,,,,35,38.27,,2030,,Wake Forest,"$861,659"
46,Aidan Major,SP,21.1,5'11,200,West Virginia,"From a stockier frame threw the FB around 19"" of ride. SL moves well off the pitch generating 17"" of diff in break. CH runs hard as well building off the FB. Figuring out the command will unlock big upside.",55,60,70,70,55,60,30,40,,,25,35,"91-94/97, SL82-86, CH84-88, CT86-90",,,,,,,,,,,,45,49.82,,2028,,West Virginia,"$1,943,026"
77,Bryce Cunningham,SP,21.6,6'5,230,Vanderbilt,"Good command for an ordinary FB/SL combo, but also holds a CH with great run.",50,60,50,50,55,65,,,,,50,60,"93-96/97, SL82-86, CH84-88",,,,,,,,,,,,40,49.00,,2028,,Vanderbilt,"$1,438,124"
169,Hunter Cranton,RP,23.7,6'3,215,Kansas,2-pitch journeyman reliever that throws gas.,65,70,55,55,,,,,,,40,50,"95-99/100, SL86-88",,,,,,,,,,,,35,41.04,,2025,,Kansas,"$369,680"
88,Aiden May,SP,21.3,6'2,195,Oregon State,"Blitzball SL with good command on other pitches, but ordinary stuff. Likeliest path is a medium leverage RP with an out-pitch.",40,45,70,70,35,40,,,,,50,55,"92-96/98, SL82-85, CH87-90",,,,,,,,,,,,40,48.13,,2027,,Oregon State,"$805,741"
200,Dalton Pence,RP,21.8,6'2,215,North Carolina,UNC closer lefty that Sean Doolittle esque heavily features a FB with huge ride.,60,60,35,40,30,35,,,,,35,40,"91-94/95, CT81-84, CH82-86",,,,,,,,,,,,30,39.29,,2026,,North Carolina,"$352,439"
68,Chris Cortez,RP,21.8,6'1,205,Texas A&M,FB/SL super reliever that can move through an org quickly.,70,80,60,70,,,,,,,30,40,"96-100/101, SL85-89/93",,,,,,,,,,,,40,51.58,,2025,,Texas A&M,"$1,526,872"
111,Janzen Keisel,SP,21.3,6'4,210,Oklahoma State,"Throws from the super low release, gets lots of run on his FB, and sweep on his SL, giving a potential gem profile.",50,65,45,55,35,45,50,50,,,35,45,"92-96/99, SL80-85, SI91-95/96, CH82-86",,,,,,,,,,,,40,50.21,,2028,,Oklahoma State,"$1,682,909"
84,Connor Foley,SP,21.0,6'5,225,Indiana,"Power FB with heavy ride, and a parachute CH but 30 control and likely headed to the pen.",55,65,60,70,45,50,20,35,,,30,40,"91-96/100, SL81-87, CH78-83",,,,,,,,,,,,40,54.73,,2028,,Indiana,"$1,788,970"
131,Ryan Lambert,RP,21.8,6'3,220,Oklahoma,"FB/SL power pitcher with quality command, but no SP experience and will need other pitches to survive in that avenue.",65,70,60,60,30,40,,,,,45,55,"93-99/102, SL85-90, CT87-91",,,,,,,,,,,,35,48.72,,2026,,Oklahoma,"$1,307,192"
25,Cam Caminiti,SP,17.9,6'2,195,LSU,"Great feel for command, run on his FB, and young for his class. Throws two breakers that both project as good offerings, but the SL is farther along.",45,55,40,60,30,45,30,40,,,30,60,"93-95/98, SL77-81, CB71-74, CH78-81",,,,,,,,,,,,45,52.48,,2030,,LSU,"$2,384,811"
20,Kash Mayfield,SP,19.4,6'4,200,Oklahoma State,Three present quality pitches with room to add velo from a HSer presents a unique profile despite his older age.,55,60,45,60,50,55,,,,,35,60,"90-94/98, SL78-81, CH78-81",,,,,,,,,,,,50,53.82,,2028,,Oklahoma State,"$3,473,641"
